# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg	ibeam	latency_ms
9.1	129	128	0	165	5	0	294	165	2.2810	60445.381734391	25.487	128.82724	-45.17639	20	2471.1
8.4	129	127	0	165	5	0	270	165	2.2810	60445.381734391	25.487	128.82724	-45.18069	20	2471.1
7.6	130	128	0	165	5	0	244	165	2.2810	60445.381734391	25.487	128.82114	-45.17639	20	2471.1
7.0	130	127	0	165	5	0	224	165	2.2810	60445.381734391	25.487	128.82114	-45.18068	20	2471.1
7.9	126	128	0	165	5	0	254	165	2.2810	60445.381734391	25.487	128.84552	-45.17639	20	2471.1
7.1	126	127	0	165	5	0	229	165	2.2810	60445.381734391	25.487	128.84552	-45.18068	20	2471.1
9.3	127	128	0	165	5	0	300	165	2.2810	60445.381734391	25.487	128.83943	-45.17639	20	2471.1
8.5	127	127	0	165	5	0	272	165	2.2810	60445.381734391	25.487	128.83943	-45.18069	20	2471.1
8.7	128	128	0	223	5	0	280	223	3.0828	60445.381743671	25.487	128.83333	-45.17639	20	1669.3
8.0	128	127	0	223	5	0	257	223	3.0828	60445.381743671	25.487	128.83333	-45.18069	20	1669.3
8.1	129	128	0	223	5	0	261	223	3.0828	60445.381743671	25.487	128.82724	-45.17639	20	1669.3
7.4	129	127	0	223	5	0	238	223	3.0828	60445.381743671	25.487	128.82724	-45.18069	20	1669.3
6.7	130	128	0	223	5	0	215	223	3.0828	60445.381743671	25.487	128.82114	-45.17639	20	1669.3
6.1	130	127	0	223	5	0	197	223	3.0828	60445.381743671	25.487	128.82114	-45.18068	20	1669.3
7.2	126	128	0	217	5	0	231	217	2.9998	60445.381742711	25.487	128.84552	-45.17639	20	1752.2
6.7	126	127	0	217	5	0	214	217	2.9998	60445.381742711	25.487	128.84552	-45.18068	20	1752.2
8.4	127	128	0	217	5	0	271	217	2.9998	60445.381742711	25.487	128.83943	-45.17639	20	1752.2
7.7	127	127	0	217	5	0	249	217	2.9998	60445.381742711	25.487	128.83943	-45.18069	20	1752.2
9.0	128	128	1	230	5	0	288	230	3.1795	60445.381744791	25.487	128.83333	-45.17639	20	1572.5
8.0	128	127	1	230	5	0	257	230	3.1795	60445.381744791	25.487	128.83333	-45.18069	20	1572.5
8.4	129	128	1	230	5	0	270	230	3.1795	60445.381744791	25.487	128.82724	-45.17639	20	1572.5
7.4	129	127	1	230	5	0	239	230	3.1795	60445.381744791	25.487	128.82724	-45.18069	20	1572.5
7.0	130	128	1	230	5	0	226	230	3.1795	60445.381744791	25.487	128.82114	-45.17639	20	1572.5
6.2	130	127	0	230	5	0	200	230	3.1795	60445.381744791	25.487	128.82114	-45.18068	20	1572.5
7.2	126	128	1	230	5	0	232	230	3.1795	60445.381744791	25.487	128.84552	-45.17639	20	1572.5
6.6	126	127	1	230	5	0	211	230	3.1795	60445.381744791	25.487	128.84552	-45.18068	20	1572.5
8.5	127	128	1	230	5	0	273	230	3.1795	60445.381744791	25.487	128.83943	-45.17639	20	1572.5
7.7	127	127	1	230	5	0	247	230	3.1795	60445.381744791	25.487	128.83943	-45.18069	20	1572.5
10.4	128	128	0	236	5	0	335	236	3.2625	60445.381745751	25.487	128.83333	-45.17639	20	1489.6
9.5	128	127	0	236	5	0	305	236	3.2625	60445.381745751	25.487	128.83333	-45.18069	20	1489.6
9.5	129	128	0	236	5	0	307	236	3.2625	60445.381745751	25.487	128.82724	-45.17639	20	1489.6
8.6	129	127	0	236	5	0	276	236	3.2625	60445.381745751	25.487	128.82724	-45.18069	20	1489.6
7.8	130	128	0	236	5	0	250	236	3.2625	60445.381745751	25.487	128.82114	-45.17639	20	1489.6
6.9	130	127	0	236	5	0	223	236	3.2625	60445.381745751	25.487	128.82114	-45.18068	20	1489.6
6.7	125	128	0	236	5	0	215	236	3.2625	60445.381745751	25.487	128.85162	-45.17639	20	1489.6
6.2	125	127	0	236	5	0	201	236	3.2625	60445.381745751	25.487	128.85162	-45.18068	20	1489.6
8.8	126	128	0	236	5	0	282	236	3.2625	60445.381745751	25.487	128.84552	-45.17639	20	1489.6
8.1	126	127	0	236	5	0	261	236	3.2625	60445.381745751	25.487	128.84552	-45.18068	20	1489.6
10.1	127	128	0	236	5	0	326	236	3.2625	60445.381745751	25.487	128.83943	-45.17639	20	1489.6
9.3	127	127	0	236	5	0	300	236	3.2625	60445.381745751	25.487	128.83943	-45.18069	20	1489.6
6.3	128	128	1	243	5	0	202	243	3.3592	60445.381746871	25.487	128.83333	-45.17639	20	1392.8
6.1	127	128	1	243	5	0	196	243	3.3592	60445.381746871	25.487	128.83943	-45.17639	20	1392.8
8.3	128	128	0	249	5	0	266	249	3.4422	60445.381747831	25.487	128.83333	-45.17639	20	1309.8
7.5	128	127	0	249	5	0	241	249	3.4422	60445.381747831	25.487	128.83333	-45.18069	20	1309.8
7.7	129	128	0	249	5	0	249	249	3.4422	60445.381747831	25.487	128.82724	-45.17639	20	1309.8
7.0	129	127	0	249	5	0	225	249	3.4422	60445.381747831	25.487	128.82724	-45.18069	20	1309.8
6.4	130	128	0	249	5	0	207	249	3.4422	60445.381747831	25.487	128.82114	-45.17639	20	1309.8
6.6	126	128	0	249	5	0	213	249	3.4422	60445.381747831	25.487	128.84552	-45.17639	20	1309.8
6.1	126	127	0	249	5	0	195	249	3.4422	60445.381747831	25.487	128.84552	-45.18068	20	1309.8
7.9	127	128	0	249	5	0	253	249	3.4422	60445.381747831	25.487	128.83943	-45.17639	20	1309.8
7.2	127	127	0	249	5	0	231	249	3.4422	60445.381747831	25.487	128.83943	-45.18069	20	1309.8
9.0	128	128	1	4	6	0	290	4	0.0553	60445.381708631	30.585	128.83333	-45.17639	20	4696.7
8.1	128	127	1	4	6	0	262	4	0.0553	60445.381708631	30.585	128.83333	-45.18069	20	4696.7
8.4	129	128	1	4	6	0	270	4	0.0553	60445.381708631	30.585	128.82724	-45.17639	20	4696.7
7.4	129	127	1	4	6	0	239	4	0.0553	60445.381708631	30.585	128.82724	-45.18069	20	4696.7
6.4	130	129	0	3	6	0	207	3	0.0415	60445.381708471	30.585	128.82114	-45.17209	20	4710.5
6.8	126	129	0	3	6	0	220	3	0.0415	60445.381708471	30.585	128.84552	-45.17209	20	4710.5
6.1	126	127	0	3	6	0	195	3	0.0415	60445.381708471	30.585	128.84552	-45.18068	20	4710.5
8.0	127	128	0	3	6	0	257	3	0.0415	60445.381708471	30.585	128.83943	-45.17639	20	4710.5
7.4	127	127	0	3	6	0	238	3	0.0415	60445.381708471	30.585	128.83943	-45.18069	20	4710.5
7.9	128	128	0	42	6	0	254	42	0.5806	60445.381714711	30.585	128.83333	-45.17639	20	4171.4
7.1	128	127	0	42	6	0	228	42	0.5806	60445.381714711	30.585	128.83333	-45.18069	20	4171.4
7.3	129	128	0	42	6	0	235	42	0.5806	60445.381714711	30.585	128.82724	-45.17639	20	4171.4
6.5	129	127	0	42	6	0	209	42	0.5806	60445.381714711	30.585	128.82724	-45.18069	20	4171.4
6.0	130	128	0	42	6	0	194	42	0.5806	60445.381714711	30.585	128.82114	-45.17639	20	4171.4
6.4	126	128	0	42	6	0	206	42	0.5806	60445.381714711	30.585	128.84552	-45.17639	20	4171.4
7.6	127	128	0	42	6	0	243	42	0.5806	60445.381714711	30.585	128.83943	-45.17639	20	4171.4
6.8	127	127	0	42	6	0	220	42	0.5806	60445.381714711	30.585	128.83943	-45.18069	20	4171.4
6.8	128	128	0	81	6	0	219	81	1.1197	60445.381720951	30.585	128.83333	-45.17639	20	3632.3
6.2	128	127	0	81	6	0	198	81	1.1197	60445.381720951	30.585	128.83333	-45.18069	20	3632.3
6.3	129	128	0	81	6	0	203	81	1.1197	60445.381720951	30.585	128.82724	-45.17639	20	3632.3
6.5	127	128	0	81	6	0	209	81	1.1197	60445.381720951	30.585	128.83943	-45.17639	20	3632.3
6.3	128	128	1	88	6	0	203	88	1.2165	60445.381722071	30.585	128.83333	-45.17639	20	3535.5
6.8	128	128	1	146	6	0	220	146	2.0183	60445.381731351	30.585	128.83333	-45.17639	20	2733.7
6.3	128	127	1	146	6	0	203	146	2.0183	60445.381731351	30.585	128.83333	-45.18069	20	2733.7
6.5	129	128	1	146	6	0	208	146	2.0183	60445.381731351	30.585	128.82724	-45.17639	20	2733.7
6.4	127	128	1	146	6	0	207	146	2.0183	60445.381731351	30.585	128.83943	-45.17639	20	2733.7
6.1	127	127	1	146	6	0	195	146	2.0183	60445.381731351	30.585	128.83943	-45.18069	20	2733.7
9.0	128	128	0	152	6	0	289	152	2.1012	60445.381732311	30.585	128.83333	-45.17639	20	2650.8
8.2	128	127	0	152	6	0	264	152	2.1012	60445.381732311	30.585	128.83333	-45.18069	20	2650.8
8.2	129	128	0	152	6	0	265	152	2.1012	60445.381732311	30.585	128.82724	-45.17639	20	2650.8
7.4	129	127	0	152	6	0	239	152	2.1012	60445.381732311	30.585	128.82724	-45.18069	20	2650.8
6.7	130	128	0	152	6	0	214	152	2.1012	60445.381732311	30.585	128.82114	-45.17639	20	2650.8
7.3	126	128	0	152	6	0	236	152	2.1012	60445.381732311	30.585	128.84552	-45.17639	20	2650.8
6.9	126	127	0	152	6	0	222	152	2.1012	60445.381732311	30.585	128.84552	-45.18068	20	2650.8
8.6	127	128	0	152	6	0	278	152	2.1012	60445.381732311	30.585	128.83943	-45.17639	20	2650.8
8.0	127	127	0	152	6	0	257	152	2.1012	60445.381732311	30.585	128.83943	-45.18069	20	2650.8
10.4	128	128	0	165	6	0	336	165	2.2810	60445.381734391	30.585	128.83333	-45.17639	20	2471.1
9.4	128	127	0	165	6	0	303	165	2.2810	60445.381734391	30.585	128.83333	-45.18069	20	2471.1
9.6	129	128	0	165	6	0	310	165	2.2810	60445.381734391	30.585	128.82724	-45.17639	20	2471.1
8.6	129	127	0	165	6	0	278	165	2.2810	60445.381734391	30.585	128.82724	-45.18069	20	2471.1
7.9	130	128	0	165	6	0	253	165	2.2810	60445.381734391	30.585	128.82114	-45.17639	20	2471.1
7.0	130	127	0	165	6	0	226	165	2.2810	60445.381734391	30.585	128.82114	-45.18068	20	2471.1
6.2	125	128	0	165	6	0	200	165	2.2810	60445.381734391	30.585	128.85162	-45.17639	20	2471.1
8.4	126	128	0	165	6	0	271	165	2.2810	60445.381734391	30.585	128.84552	-45.17639	20	2471.1
7.7	126	127	0	165	6	0	248	165	2.2810	60445.381734391	30.585	128.84552	-45.18068	20	2471.1
10.0	127	128	0	165	6	0	322	165	2.2810	60445.381734391	30.585	128.83943	-45.17639	20	2471.1
9.1	127	127	0	165	6	0	293	165	2.2810	60445.381734391	30.585	128.83943	-45.18069	20	2471.1
6.6	128	128	1	172	6	0	212	172	2.3777	60445.381735511	30.585	128.83333	-45.17639	20	2374.3
6.1	129	128	1	172	6	0	195	172	2.3777	60445.381735511	30.585	128.82724	-45.17639	20	2374.3
