# target_slot, uvidx, shift_flag, upix, vpix
2 2732 0 63 86
3 3099 0 64 86
3 3338 0 64 86
4 3528 0 65 86
5 5015 0 66 86
5 5112 0 66 86
6 1502 0 69 86
7 1572 0 70 86
8 3477 0 73 86
9 2778 0 74 86
9 3799 0 74 86
10 1264 0 79 86
11 736 0 80 86
11 4697 0 80 86
12 1193 0 81 86
12 4514 0 81 86
13 4275 0 29 87
14 3531 0 30 87
14 4274 0 30 87
15 3465 1 31 87
0 3783 0 32 87
1 5257 0 59 87
2 3406 0 60 87
2 4631 0 60 87
2 5201 0 60 87
3 3405 0 61 87
3 4888 0 61 87
4 2408 0 64 87
4 2937 0 64 87
5 2183 0 65 87
5 3585 0 65 87
6 2709 0 66 87
6 4663 0 66 87
7 3153 0 67 87
7 4572 0 67 87
8 1730 0 70 87
9 778 0 71 87
10 2996 0 74 87
11 2663 0 75 87
12 165 0 81 87
12 1263 0 81 87
12 4293 0 81 87
12 4913 0 81 87
13 488 0 82 87
13 3892 0 82 87
14 3464 0 32 88
15 3070 0 33 88
15 3563 1 33 88
0 3026 0 34 88
1 3775 0 61 88
1 4664 0 61 88
2 2730 0 62 88
2 3810 0 62 88
2 4145 0 62 88
2 4776 0 62 88
3 2975 0 63 88
4 2453 0 65 88
5 2056 0 66 88
6 1825 0 67 88
6 2551 0 67 88
6 2734 0 67 88
6 4917 0 67 88
7 2370 0 68 88
7 3103 0 68 88
7 4007 0 68 88
7 4847 0 68 88
8 4216 0 69 88
9 777 0 72 88
10 621 0 73 88
10 1119 0 73 88
11 1998 0 76 88
12 2356 0 77 88
13 190 0 82 88
13 4292 0 82 88
14 534 0 83 88
14 3318 0 83 88
14 4213 0 83 88
15 2953 1 34 89
0 2839 0 35 89
1 2880 0 36 89
2 4381 0 62 89
3 2936 0 63 89
3 3940 0 63 89
4 2262 0 64 89
4 2974 0 64 89
4 3717 0 64 89
4 4179 0 64 89
5 2545 0 65 89
6 1582 0 67 89
7 1477 0 68 89
7 2328 0 68 89
8 2060 0 69 89
8 4006 0 69 89
9 2513 0 70 89
9 3379 0 70 89
9 4379 0 70 89
10 295 0 73 89
11 219 0 74 89
12 1893 0 77 89
12 2175 0 77 89
13 1535 0 78 89
14 3803 0 83 89
15 3045 0 84 89
15 3295 1 84 89
0 3132 0 85 89
1 3113 0 36 90
2 2204 0 37 90
3 2203 0 38 90
4 2472 0 39 90
5 4899 0 52 90
5 5045 0 52 90
6 4938 0 53 90
7 3577 0 64 90
8 2108 0 65 90
8 3330 0 65 90
9 2145 0 66 90
9 3677 0 66 90
10 1867 0 68 90
11 985 0 69 90
11 1702 0 69 90
12 1088 0 70 90
12 1660 0 70 90
12 2369 0 70 90
12 3713 0 70 90
13 1545 0 71 90
13 3299 0 71 90
14 3052 0 72 90
14 3806 0 72 90
15 529 0 74 90
15 5266 1 -1 -1
0 336 0 75 90
1 1643 0 78 90
2 1420 0 79 90
3 2621 0 85 90
4 3044 0 86 90
5 2239 0 39 91
6 1715 0 40 91
6 2381 0 40 91
7 1666 0 41 91
8 4611 0 53 91
9 4558 0 54 91
10 4937 0 55 91
11 1824 0 66 91
11 2971 0 66 91
11 3627 0 66 91
12 1456 0 67 91
12 2727 0 67 91
13 1699 0 68 91
14 984 0 70 91
15 593 0 71 91
15 876 0 71 91
15 1748 1 71 91
0 1126 0 72 91
0 1544 0 72 91
0 2821 0 72 91
1 1168 0 73 91
1 2698 0 73 91
2 1185 0 79 91
3 735 0 80 91
4 1118 0 81 91
5 2076 0 86 91
5 3089 0 86 91
6 2283 0 87 91
7 1757 0 41 92
8 1559 0 42 92
9 1223 0 43 92
9 1593 0 43 92
10 4019 0 55 92
10 4981 0 55 92
11 3952 0 56 92
12 4272 0 57 92
13 3185 0 67 92
14 1657 0 68 92
14 2448 0 68 92
14 2759 0 68 92
15 873 0 69 92
15 1823 0 69 92
15 2259 1 69 92
0 1272 0 70 92
1 631 0 71 92
2 171 0 72 92
3 372 0 73 92
3 879 0 73 92
3 3137 0 73 92
4 906 0 74 92
4 2048 0 74 92
4 3136 0 74 92
5 2364 0 75 92
6 525 0 81 92
6 900 0 81 92
7 333 0 82 92
8 1857 0 87 92
8 2102 0 87 92
9 1570 0 88 92
10 1222 0 43 93
11 919 0 44 93
12 918 0 45 93
13 1133 0 46 93
14 3502 0 57 93
14 4315 0 57 93
15 3342 0 58 93
15 5266 1 -1 -1
0 3695 0 59 93
1 2325 0 69 93
2 839 0 70 93
2 2028 0 70 93
3 586 0 71 93
3 982 0 71 93
3 1818 0 71 93
4 371 0 73 93
5 592 0 74 93
5 633 0 74 93
5 1125 0 74 93
6 139 0 75 93
6 2140 0 75 93
7 554 0 76 93
7 1504 0 76 93
7 2504 0 76 93
8 4589 0 77 93
8 5075 0 77 93
9 4950 0 78 93
10 332 0 82 93
11 152 0 83 93
12 1499 0 88 93
13 1188 0 89 93
13 1536 0 89 93
14 996 0 46 94
15 356 0 47 94
15 1175 0 47 94
15 5266 1 -1 -1
0 355 0 48 94
1 3111 0 59 94
1 3501 0 59 94
2 2710 0 60 94
3 3069 0 61 94
4 492 0 71 94
4 1507 0 71 94
5 170 0 72 94
5 1454 0 72 94
6 452 0 73 94
7 228 0 76 94
7 1816 0 76 94
8 553 0 77 94
8 1384 0 77 94
9 1157 0 78 94
9 1859 0 78 94
9 4481 0 78 94
10 3994 0 79 94
10 4996 0 79 94
11 931 0 89 94
12 774 0 90 94
13 503 0 48 95
14 279 0 49 95
15 391 1 50 95
0 2800 0 61 95
1 2202 0 62 95
1 3025 0 62 95
2 2417 0 63 95
3 1901 0 72 95
4 347 0 73 95
4 869 0 73 95
4 1775 0 73 95
5 977 0 74 95
6 865 0 78 95
7 812 0 79 95
7 4126 0 79 95
8 3430 0 80 95
8 4026 0 80 95
9 3792 0 81 95
10 1046 0 90 95
11 98 0 91 95
11 1262 0 91 95
12 5211 0 36 96
13 4905 0 37 96
13 5210 0 37 96
14 4915 0 48 96
14 5101 0 48 96
15 2161 1 63 96
0 1790 0 64 96
0 2160 0 64 96
1 1789 0 65 96
2 1055 0 74 96
3 344 0 75 96
3 1019 0 75 96
4 543 0 76 96
5 1194 0 79 96
6 166 0 80 96
6 1156 0 80 96
7 449 0 81 96
7 3271 0 81 96
8 2918 0 82 96
8 3703 0 82 96
9 4730 0 84 96
9 5076 0 84 96
10 528 0 91 96
11 154 0 92 96
12 5237 0 24 97
13 4861 0 25 97
13 5185 0 25 97
14 4792 0 37 97
15 4613 0 38 97
15 5266 1 -1 -1
0 4643 0 39 97
1 4278 0 40 97
1 4940 0 40 97
2 4958 0 48 97
3 4593 0 49 97
4 4570 0 50 97
5 4333 0 51 97
5 4957 0 51 97
6 1521 0 65 97
7 1437 0 66 97
8 1221 0 67 97
8 1788 0 67 97
9 223 0 76 97
10 258 0 77 97
11 220 0 81 97
12 535 0 82 97
12 2846 0 82 97
13 2431 0 83 97
13 2661 0 83 97
14 4998 0 84 97
15 4441 0 85 97
15 5266 1 -1 -1
0 4127 0 86 97
0 4997 0 86 97
1 4934 0 25 98
2 4640 0 26 98
3 4678 0 27 98
4 4268 0 28 98
4 4757 0 28 98
5 4359 0 29 98
6 4163 0 40 98
7 3985 0 41 98
8 3699 0 42 98
8 4084 0 42 98
9 3698 0 43 98
10 4093 0 51 98
11 3969 0 52 98
12 3621 0 53 98
12 4173 0 53 98
13 917 0 67 98
14 798 0 68 98
15 1104 1 69 98
0 2531 0 83 98
0 5067 0 83 98
1 1981 0 84 98
1 4440 0 84 98
2 2246 0 85 98
3 3921 0 86 98
4 3431 0 87 98
4 4167 0 87 98
5 4914 0 95 98
5 5099 0 95 98
6 4471 0 96 98
7 4047 0 29 99
8 4046 0 30 99
9 3639 0 31 99
9 4154 0 31 99
10 3638 0 32 99
11 3506 0 43 99
12 3417 0 44 99
13 3076 0 45 99
13 3505 0 45 99
14 3117 0 46 99
15 3764 1 53 99
0 3377 0 54 99
1 3376 0 55 99
2 3046 0 56 99
2 3805 0 56 99
3 433 0 69 99
3 1067 0 69 99
4 143 0 70 99
5 502 0 71 99
6 1531 0 85 99
6 2530 0 85 99
6 3964 0 85 99
6 4567 0 85 99
6 4652 0 85 99
6 5088 0 85 99
7 1361 0 86 99
7 3990 0 86 99
7 4693 0 86 99
8 3569 0 87 99
9 2919 0 88 99
9 3292 0 88 99
10 3125 0 89 99
11 4331 0 96 99
11 4626 0 96 99
12 3863 0 97 99
13 3592 0 32 100
14 3416 0 33 100
15 3462 0 34 100
15 5266 1 -1 -1
0 2837 0 35 100
1 2841 0 46 100
2 2767 0 47 100
3 2382 0 48 100
3 2912 0 48 100
4 2894 0 56 100
5 2754 0 57 100
6 2392 0 58 100
6 2893 0 58 100
7 237 0 71 100
8 601 0 72 100
9 1849 0 86 100
9 3568 0 86 100
9 4202 0 86 100
9 4241 0 86 100
9 4656 0 86 100
10 718 0 87 100
10 1848 0 87 100
10 3243 0 87 100
10 3862 0 87 100
11 1003 0 88 100
12 2616 0 89 100
13 2217 0 90 100
13 3084 0 90 100
14 3673 0 97 100
14 4172 0 97 100
15 3234 0 98 100
15 5266 1 -1 -1
0 3158 0 35 101
1 2799 0 36 101
2 2836 0 37 101
3 2269 0 38 101
3 3067 0 38 101
4 2468 0 39 101
5 2164 0 49 101
6 2119 0 50 101
7 1794 0 51 101
7 2272 0 51 101
8 2077 0 59 101
9 2104 0 60 101
10 1814 0 61 101
10 2441 0 61 101
11 4568 0 76 101
11 5096 0 76 101
12 4515 0 77 101
13 4289 0 87 101
14 473 0 88 101
14 969 0 88 101
14 2618 0 88 101
14 3244 0 88 101
14 3657 0 88 101
14 4369 0 88 101
15 96 0 89 101
15 2809 0 89 101
15 3514 0 89 101
15 5266 1 -1 -1
0 2128 0 90 101
1 1603 0 91 101
1 2097 0 91 101
2 3133 0 98 101
2 3619 0 98 101
3 2585 0 99 101
4 4903 0 11 102
4 5051 0 11 102
5 4723 0 12 102
6 4681 0 13 102
7 4871 0 14 102
8 2268 0 39 102
9 2159 0 40 102
10 1785 0 41 102
10 2302 0 41 102
11 1664 0 42 102
12 1879 0 51 102
13 1484 0 52 102
14 1483 0 53 102
15 1138 0 54 102
15 1673 0 54 102
15 5266 1 -1 -1
0 1645 0 61 102
1 1469 0 62 102
2 1191 0 63 102
2 1537 0 63 102
3 4885 0 77 102
4 3873 0 78 102
5 3672 0 79 102
5 4058 0 79 102
6 517 0 89 102
6 2215 0 89 102
6 2720 0 89 102
6 3081 0 89 102
6 3760 0 89 102
7 288 0 90 102
7 1976 0 90 102
7 2629 0 90 102
8 1850 0 91 102
9 1246 0 92 102
9 1334 0 92 102
10 1040 0 93 102
11 3000 0 99 102
12 1943 0 100 102
13 4870 0 14 103
14 4195 0 15 103
14 4869 0 15 103
15 4083 1 16 103
0 4082 0 17 103
1 3745 0 18 103
1 4116 0 18 103
2 1754 0 42 103
3 1556 0 43 103
4 1519 0 44 103
5 916 0 45 103
6 1231 0 54 103
7 847 0 55 103
8 846 0 56 103
9 563 0 57 103
9 1029 0 57 103
10 810 0 64 103
11 834 0 65 103
12 622 0 66 103
12 1083 0 66 103
13 3574 0 79 103
14 3268 0 80 103
15 2892 0 81 103
15 3705 1 81 103
0 2389 0 90 103
0 2480 0 90 103
0 3174 0 90 103
1 1339 0 91 103
1 1960 0 91 103
1 2527 0 91 103
2 1563 0 92 103
2 1892 0 92 103
2 2353 0 92 103
3 734 0 93 103
4 400 0 94 103
4 925 0 94 103
5 2440 0 100 103
6 1313 0 101 103
6 2537 0 101 103
7 3504 0 19 104
8 3467 0 20 104
9 3503 0 21 104
10 3032 0 22 104
10 3601 0 22 104
11 3031 0 23 104
12 1218 0 45 104
13 915 0 46 104
14 886 0 47 104
15 387 0 48 104
