# target_slot, uvidx, shift_flag, upix, vpix
6 4726 0 187 49
7 5181 0 201 49
8 2779 0 58 50
9 466 0 66 50
10 390 0 67 50
10 2117 0 67 50
11 1494 0 75 50
12 1152 0 80 50
12 1644 0 80 50
13 391 0 95 50
14 4570 0 97 50
15 2119 0 101 50
15 5266 1 -1 -1
0 277 0 105 50
0 5242 0 105 50
1 3386 0 117 50
2 510 0 118 50
2 1030 0 118 50
3 2914 0 125 50
3 3653 0 125 50
4 2490 0 132 50
4 2849 0 132 50
4 3366 0 132 50
5 2135 0 133 50
6 1481 0 152 50
7 1795 0 170 50
8 1631 0 171 50
9 4120 0 186 50
10 4198 0 187 50
11 4787 0 200 50
12 4786 0 201 50
12 5233 0 201 50
13 3131 0 58 51
14 2855 0 59 51
15 389 0 67 51
15 2474 0 67 51
15 5266 1 -1 -1
0 465 0 68 51
0 1625 0 68 51
0 2473 0 68 51
1 1768 0 75 51
2 1683 0 76 51
3 1187 0 80 51
4 972 0 81 51
5 4333 0 97 51
5 4957 0 97 51
6 4093 0 98 51
7 1794 0 101 51
7 2272 0 101 51
8 1879 0 102 51
9 354 0 105 51
9 4648 0 105 51
9 5190 0 105 51
10 3367 0 117 51
11 241 0 119 51
12 2743 0 125 51
13 2131 0 132 51
13 3365 0 132 51
14 1729 0 133 51
14 2358 0 133 51
15 951 0 151 51
15 1874 0 151 51
15 5266 1 -1 -1
0 1873 0 152 51
1 920 0 170 51
1 1841 0 170 51
2 3789 0 185 51
2 4281 0 185 51
3 4051 0 186 51
4 4821 0 199 51
5 4755 0 200 51
6 3087 0 59 52
7 2221 0 60 52
8 464 0 68 52
8 1716 0 68 52
9 1667 0 69 52
10 1009 0 76 52
10 1805 0 76 52
11 1250 0 77 52
12 928 0 81 52
13 1186 0 82 52
14 4899 0 90 52
14 5045 0 90 52
15 3969 0 98 52
15 5266 1 -1 -1
0 1484 0 102 52
1 4838 0 105 52
1 4942 0 105 52
1 5083 0 105 52
2 4617 0 106 52
3 2909 0 117 52
3 3594 0 117 52
4 240 0 119 52
5 2771 0 125 52
6 1608 0 132 52
6 2130 0 132 52
6 2982 0 132 52
6 3561 0 132 52
7 1811 0 133 52
8 885 0 151 52
9 5253 0 161 52
10 1071 0 169 52
11 1070 0 170 52
12 3371 0 185 52
13 4226 0 198 52
14 4358 0 199 52
14 4716 0 199 52
15 4839 0 55 53
15 5084 1 55 53
0 2390 0 60 53
1 2281 0 61 53
2 1594 0 69 53
3 1835 0 70 53
4 899 0 77 53
5 579 0 82 53
5 971 0 82 53
6 4938 0 90 53
7 4611 0 91 53
8 3621 0 98 53
8 4173 0 98 53
9 3764 0 99 53
10 1483 0 102 53
11 4563 0 105 53
12 4280 0 106 53
12 4684 0 106 53
13 2740 0 117 53
14 282 0 119 53
15 2168 0 125 53
15 3118 1 125 53
0 1498 0 132 53
0 1804 0 132 53
0 2247 0 132 53
