# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.2	210	194	0	155	22	168	164	43163	596.6853	60381.273456391	98.203	51.58482	-54.35871
6.0	247	 86	2	194	95	168	158	43202	597.2244	60381.273462631	424.056	51.30261	-54.82071
6.0	 52	  8	5	89	67	170	158	43609	602.8508	60381.273527751	299.071	52.76237	-55.15741
6.1	 24	223	2	23	36	171	160	43799	605.4774	60381.273558151	160.695	52.95525	-54.23248
6.1	 24	223	2	24	37	171	161	43800	605.4912	60381.273558311	165.159	52.95525	-54.23248
6.2	 53	233	0	127	42	172	162	44159	610.4540	60381.273615751	187.478	52.74106	-54.19093
6.2	 60	116	0	101	48	172	163	44133	610.0946	60381.273611591	214.260	52.69424	-54.69480
6.2	 61	116	0	101	48	172	164	44133	610.0946	60381.273611591	214.260	52.68679	-54.69484
6.2	 13	203	1	193	132	173	163	44481	614.9053	60381.273667271	589.215	53.03775	-54.31795
6.1	 94	251	0	186	36	174	161	44730	618.3475	60381.273707111	160.695	52.43943	-54.11462
6.0	 16	196	0	224	54	174	158	44768	618.8728	60381.273713191	241.043	53.01603	-54.34831
6.1	 25	236	5	192	116	176	160	45248	625.5084	60381.273789991	517.795	52.94720	-54.17648
6.1	 25	236	5	192	117	176	160	45248	625.5084	60381.273789991	522.259	52.94720	-54.17648
6.0	 25	236	5	193	118	176	158	45249	625.5222	60381.273790151	526.723	52.94720	-54.17648
6.1	 23	 65	6	113	131	179	161	45937	635.0331	60381.273900231	584.751	52.97493	-54.91168
6.2	229	149	1	140	158	180	164	46220	638.9453	60381.273945511	705.273	51.44113	-54.55131
6.0	155	 79	4	95	112	182	158	46687	645.4011	60381.274020231	499.940	51.98689	-54.85480
6.0	155	 79	5	96	112	182	158	46688	645.4149	60381.274020391	499.940	51.98689	-54.85480
6.2	 27	184	5	160	152	182	162	46752	646.2996	60381.274030631	678.490	52.93535	-54.40070
6.0	 83	  0	5	51	115	183	158	46899	648.3318	60381.274054151	513.331	52.52925	-55.19279
6.2	187	116	0	166	34	187	164	48038	664.0773	60381.274236391	151.768	51.74983	-54.69515
6.1	194	219	1	232	34	189	161	48616	672.0676	60381.274328871	151.768	51.70427	-54.25170
6.0	171	152	5	196	153	192	158	49348	682.1868	60381.274445991	682.954	51.86983	-54.54093
6.0	139	 48	0	112	145	193	158	49520	684.5645	60381.274473511	647.244	52.10650	-54.98788
6.0	129	116	2	158	29	194	158	49822	688.7393	60381.274521831	129.449	52.18060	-54.69621
6.0	 54	191	0	7	160	196	158	50183	693.7298	60381.274579591	714.200	52.73513	-54.37199
6.1	255	  2	0	198	104	197	161	50630	699.9091	60381.274651111	464.230	51.23655	-55.17997
6.0	134	254	1	155	5	198	159	50843	702.8536	60381.274685191	22.319	52.14614	-54.10202
6.1	197	 87	3	45	26	199	160	50989	704.8719	60381.274708551	116.058	51.67427	-54.81926
6.4	254	 26	0	9	118	199	168	50953	704.3743	60381.274702791	526.723	51.24574	-55.07734
6.1	246	  6	0	239	3	200	161	51439	711.0927	60381.274780551	13.391	51.30423	-55.16353
6.1	 58	197	5	231	111	207	160	53223	735.7548	60381.275065991	495.476	52.70531	-54.34632
6.1	 58	197	1	228	112	207	161	53220	735.7133	60381.275065511	499.940	52.70531	-54.34632
6.1	187	 94	0	190	99	209	161	53694	742.2659	60381.275141351	441.911	51.74893	-54.78960
6.0	 73	186	0	230	97	210	159	53990	746.3578	60381.275188711	432.984	52.59478	-54.39426
6.2	162	 48	5	10	37	213	164	54538	753.9333	60381.275276391	165.159	51.93439	-54.98757
6.1	162	 48	3	11	39	213	160	54539	753.9471	60381.275276551	174.086	51.93439	-54.98757
6.1	162	 48	5	12	40	213	160	54540	753.9609	60381.275276711	178.550	51.93439	-54.98757
6.1	 95	 97	6	48	143	213	161	54576	754.4586	60381.275282471	638.316	52.43414	-54.77745
6.0	 95	 97	6	48	144	213	159	54576	754.4586	60381.275282471	642.780	52.43414	-54.77745
6.4	 39	178	3	66	1	214	169	54850	758.2464	60381.275326311	4.464	52.84677	-54.42721
6.0	 40	179	3	66	1	214	158	54850	758.2464	60381.275326311	4.464	52.83931	-54.42296
6.0	 39	178	6	69	4	214	159	54853	758.2879	60381.275326792	17.855	52.84677	-54.42721
6.2	 28	149	3	98	96	214	164	54882	758.6888	60381.275331431	428.520	52.93028	-54.55135
6.1	213	 83	5	63	53	215	160	55103	761.7439	60381.275366791	236.579	51.55504	-54.83567
6.0	213	 83	5	66	56	215	158	55106	761.7853	60381.275367271	249.970	51.55504	-54.83567
6.0	213	 83	5	66	57	215	158	55106	761.7853	60381.275367271	254.434	51.55504	-54.83567
6.0	147	 94	1	181	105	215	158	55221	763.3751	60381.275385671	468.694	52.04661	-54.79055
6.1	122	 90	6	134	132	217	160	55686	769.8033	60381.275460071	589.215	52.23294	-54.80782
6.0	124	158	0	119	134	221	159	56695	783.7517	60381.275621511	598.143	52.21774	-54.51567
6.1	205	139	7	83	1	226	160	57939	800.9487	60381.275820551	4.464	51.61769	-54.59558
6.3	205	139	7	83	2	226	166	57939	800.9487	60381.275820551	8.928	51.61769	-54.59558
6.0	205	139	7	84	3	226	159	57940	800.9626	60381.275820711	13.391	51.61769	-54.59558
6.1	204	138	7	84	4	226	160	57940	800.9626	60381.275820711	17.855	51.62503	-54.59993
