,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,lpix_rms,mpix_rms,centl,centm,num_samps,num_spatial
171,6.1,81,202,0,216,84,158,161,40664,562.1392,60381.273056551,374.955,52.53535,-54.3256,171,,,81.0,202.0,1,-1
172,6.2,222,146,3,218,113,158,163,40666,562.1668,60381.273056871,504.404,51.49258,-54.56462,172,,,222.0,146.0,1,-1
173,6.1,145,117,3,4,4,160,160,40964,566.2863,60381.273104551,17.855,52.06168,-54.69183,173,,,145.0,117.0,1,-1
175,6.0,136,10,3,243,78,160,158,41203,569.5903,60381.273142791,348.173,52.12977,-55.15062,175,,,136.0,10.0,1,-1
176,6.0,244,216,0,243,19,162,158,41715,576.6682,60381.273224711,84.811,51.33746,-54.26191,176,,,244.0,216.0,1,-1
177,6.0,122,252,1,202,126,163,159,41930,579.6403,60381.273259111,562.433,52.23407,-54.11065,177,,,122.0,252.0,1,-1
178,6.3,78,115,0,247,147,163,166,41975,580.2624,60381.273266311,656.172,52.56017,-54.69974,178,0.7071067811865476,0.7071067811865476,78.5,115.5,2,-1
179,6.1,24,4,1,200,35,164,160,42184,583.1516,60381.273299751,156.231,52.97412,-55.17298,179,,,24.0,4.0,1,-1
182,6.1,139,213,0,188,31,165,161,42428,586.5247,60381.273338791,138.376,52.10805,-54.27884,182,,,139.0,213.0,1,-1
183,6.0,1,29,0,240,130,165,158,42480,587.2435,60381.273347111,580.288,53.14456,-55.06435,183,,,1.0,29.0,1,-1
184,6.0,71,25,3,228,84,167,158,42980,594.1555,60381.273427111,374.955,52.61782,-55.08543,184,,,71.0,25.0,1,-1
185,6.2,210,194,0,155,22,168,164,43163,596.6853,60381.273456391,98.203,51.58482,-54.35871,185,,,210.0,194.0,1,-1
186,6.0,247,86,2,194,95,168,158,43202,597.2244,60381.273462631,424.056,51.30261,-54.82071,186,,,247.0,86.0,1,-1
187,6.0,52,8,5,89,67,170,158,43609,602.8508,60381.273527751,299.071,52.76237,-55.15741,187,,,52.0,8.0,1,-1
188,6.1,24,223,2,23,36,171,160,43799,605.4774,60381.273558151,160.695,52.95525,-54.23248,188,0.0,0.0,24.0,223.0,2,-1
189,6.2,53,233,0,127,42,172,162,44159,610.454,60381.273615751,187.478,52.74106,-54.19093,189,,,53.0,233.0,1,-1
190,6.2,60,116,0,101,48,172,163,44133,610.0946,60381.273611591,214.26,52.69424,-54.6948,190,0.7071067811865476,0.0,60.5,116.0,2,-1
191,6.2,13,203,1,193,132,173,163,44481,614.9053,60381.273667271,589.215,53.03775,-54.31795,191,,,13.0,203.0,1,-1
192,6.1,94,251,0,186,36,174,161,44730,618.3475,60381.273707111,160.695,52.43943,-54.11462,192,,,94.0,251.0,1,-1
193,6.0,16,196,0,224,54,174,158,44768,618.8728,60381.273713191,241.043,53.01603,-54.34831,193,,,16.0,196.0,1,-1
195,6.1,23,65,6,113,131,179,161,45937,635.0331,60381.273900231,584.751,52.97493,-54.91168,195,,,23.0,65.0,1,-1
196,6.2,229,149,1,140,158,180,164,46220,638.9453,60381.273945511,705.273,51.44113,-54.55131,196,,,229.0,149.0,1,-1
197,6.0,155,79,4,95,112,182,158,46687,645.4011,60381.274020231,499.94,51.98689,-54.8548,197,0.0,0.0,155.0,79.0,2,-1
198,6.2,27,184,5,160,152,182,162,46752,646.2996,60381.274030631,678.49,52.93535,-54.4007,198,,,27.0,184.0,1,-1
199,6.0,83,0,5,51,115,183,158,46899,648.3318,60381.274054151,513.331,52.52925,-55.19279,199,,,83.0,0.0,1,-1
200,6.2,187,116,0,166,34,187,164,48038,664.0773,60381.274236391,151.768,51.74983,-54.69515,200,,,187.0,116.0,1,-1
201,6.1,194,219,1,232,34,189,161,48616,672.0676,60381.274328871,151.768,51.70427,-54.2517,201,,,194.0,219.0,1,-1
202,6.0,171,152,5,196,153,192,158,49348,682.1868,60381.274445991,682.954,51.86983,-54.54093,202,,,171.0,152.0,1,-1
203,6.0,139,48,0,112,145,193,158,49520,684.5645,60381.274473511,647.244,52.1065,-54.98788,203,,,139.0,48.0,1,-1
204,6.0,129,116,2,158,29,194,158,49822,688.7393,60381.274521831,129.449,52.1806,-54.69621,204,,,129.0,116.0,1,-1
205,6.0,54,191,0,7,160,196,158,50183,693.7298,60381.274579591,714.2,52.73513,-54.37199,205,,,54.0,191.0,1,-1
206,6.1,255,2,0,198,104,197,161,50630,699.9091,60381.274651111,464.23,51.23655,-55.17997,206,,,255.0,2.0,1,-1
