,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
111,10.1,10,25,1,247,77,8,315,2295,31.7261,60424.608241031,296.241,193.36887,-64.38684,2255.7890243530273,113,-1,1.0,0.0,0.0,0.586,0.3,41,10.39,25.1,1,,,,,,,J1243-6423,12.069189609371922
112,9.8,10,25,0,22,77,8,306,2070,28.6157,60424.608205031,296.241,193.36887,-64.38684,2030.7890243530273,114,-1,1.0,0.0,0.0,0.652,0.504,26,10.23,25.42,1,,,,,,,J1243-6423,12.069189609371922
113,12.3,10,25,0,50,77,8,385,2098,29.0028,60424.608209511,296.241,193.36887,-64.38684,2058.7890243530273,115,-1,1.0,0.0,0.0,0.884,0.43,26,10.31,25.23,1,,,,,,,J1243-6423,12.069189609371922
114,11.1,10,25,1,107,78,8,347,2155,29.7907,60424.608218631,300.088,193.36887,-64.38684,2115.279830932617,116,-1,1.0,0.0,0.0,0.721,0.482,24,10.21,25.33,1,,,,,,,J1243-6423,12.069189609371922
115,11.0,10,25,1,219,77,8,343,2267,31.339,60424.608236551,296.241,193.36887,-64.38684,2227.7890243530273,117,-1,1.0,0.0,0.0,0.774,0.213,22,10.14,24.95,1,,,,,,,J1243-6423,12.069189609371922
116,6.9,10,25,1,135,77,8,215,2183,30.1778,60424.608223111,296.241,193.36887,-64.38684,2143.7890243530273,118,-1,1.0,0.0,0.0,0.577,0.5,4,10.5,25.25,1,,,,,,,J1243-6423,12.069189609371922
127,19.0,10,25,0,103,77,9,594,2407,33.2744,60424.608258951,296.241,193.36887,-64.38684,2367.7890243530273,129,-1,1.0,0.0,0.0,0.846,0.498,97,10.31,25.57,1,,,,,,,J1243-6423,12.069189609371922
128,17.2,10,25,0,75,77,9,537,2379,32.8873,60424.608254471,296.241,193.36887,-64.38684,2339.7890243530273,130,-1,1.0,0.0,0.0,0.852,0.502,98,10.49,25.51,1,,,,,,,J1243-6423,12.069189609371922
129,18.1,10,25,0,131,77,9,568,2435,33.6614,60424.608263431,296.241,193.36887,-64.38684,2395.7890243530273,131,-1,1.0,0.0,0.0,0.86,0.294,95,10.35,25.09,1,,,,,,,J1243-6423,12.069189609371922
130,8.6,10,26,1,159,76,9,268,2463,34.0485,60424.608267911,292.394,193.36867,-64.38257,2424.2982177734375,132,-1,1.0,0.0,0.0,0.686,0.47,17,10.29,25.71,1,,,,,,,J1243-6423,26.95903646358354
131,6.9,10,25,1,188,78,9,217,2492,34.4494,60424.608272551,300.088,193.36887,-64.38684,2452.279830932617,133,-1,1.0,0.0,0.0,0.548,0.0,6,10.5,25.0,1,,,,,,,J1243-6423,12.069189609371922
141,13.4,10,25,0,156,77,10,419,2716,37.546,60424.608308391,296.241,193.36882,-64.38684,2676.7890243530273,144,-1,1.0,0.0,0.0,0.831,0.471,47,10.51,25.32,1,,,,,,,J1243-6423,12.041440953877235
142,9.9,10,26,0,16,78,10,311,2576,35.6106,60424.608285991,300.088,193.36864,-64.38257,2536.279830932617,145,-1,1.0,0.0,0.0,0.597,0.229,19,10.37,25.95,1,,,,,,,J1243-6423,26.95019942276493
143,9.0,10,25,0,128,77,10,283,2688,37.1589,60424.608303911,296.241,193.36882,-64.38684,2648.7890243530273,146,-1,1.0,0.0,0.0,0.598,0.359,21,10.43,25.14,1,,,,,,,J1243-6423,12.041440953877235
144,7.5,10,26,1,44,77,10,235,2604,35.9977,60424.608290471,296.241,193.36864,-64.38257,2564.7890243530273,147,-1,1.0,0.0,0.0,0.548,0.0,6,10.5,26.0,1,,,,,,,J1243-6423,26.95019942276493
154,17.8,11,26,0,153,77,11,558,2969,41.0435,60424.608348871,296.241,193.35867,-64.38268,2929.7890243530273,157,-1,1.0,0.0,0.0,0.802,0.497,113,10.54,25.42,1,,,,,,,J1243-6423,28.118713843655325
155,14.7,11,26,1,69,77,11,461,2885,39.8822,60424.608335431,296.241,193.35867,-64.38268,2845.7890243530273,158,-1,1.0,0.0,0.0,0.845,0.423,87,10.77,25.77,1,,,,,,,J1243-6423,28.118713843655325
157,9.9,11,26,1,238,78,11,309,3054,42.2185,60424.608362471,300.088,193.35867,-64.38268,3014.279830932617,160,-1,1.0,0.0,0.0,0.653,0.0,32,10.66,26.0,1,,,,,,,J1243-6423,28.118713843655325
158,10.2,10,26,0,124,76,11,319,2940,40.6426,60424.608344231,292.394,193.36864,-64.38257,2901.2982177734375,161,-1,1.0,0.0,0.0,0.831,0.498,21,10.24,25.62,1,,,,,,,J1243-6423,26.95019942276493
159,11.0,11,26,1,210,77,11,343,3026,41.8314,60424.608357991,296.241,193.35867,-64.38268,2986.7890243530273,162,-1,1.0,0.0,0.0,0.869,0.51,22,10.23,25.45,1,,,,,,,J1243-6423,28.118713843655325
